id,curso,idade,ingresso,ano_ingresso,modelo_ensino,infra_biblioteca,infra_lab_info,infra_lab_pesq,infra_internet_dispon,infra_internet_wifi,infra_index,infra_index_100,acess_calcadas,acess_vias_edif,acess_rota,acess_sanit,acess_elev_rampa,acess_index,acess_index_100,empre_pensamento,empre_realizacao,empre_curiosidade,empre_planejamento,empre_apoio,empre_index,empre_index_100,projeto_empresa_junior,projeto_aiesec,projeto_enactus,projeto_iniciacao_cientifica,projeto_monitoria,engajamento_projetos,perm_amigos_as,perm_boas_oportunidades_de_coloca_o_no_mercado,perm_bons_as_professores_as,perm_fam_lia,perm_identifica_o_com_o_curso_escolhido,perm_localiza_o_da_institui_o_de_ensino_superior,perm_obten_o_do_diploma,perm_prest_gio_da_institui_o_de_ensino_superior,perm_qualidade_da_infraestrutura_da_institui_o_de_ensino_superior,perm_qualidade_do_ensino,evas_alto_indice_reprovacao,evas_custo_mensalidade,evas_emprego,evas_falta_professores,evas_greves,evas_indisp_tempo,evas_metodologia,evas_novas_oportunidades,evas_problemas_financeiros,evas_qualidade_infra,evas_qualidade_ensino,evas_didatica,evas_dificuldade_manter,evas_conciliar_horario,evas_falta_motivacao,evas_nao_ident_profissao,evas_casamento,evas_filhos,evas_nunca_deixaria,evas_nao_adaptacao_remoto,risco_evasao_raw,risco_evasao_score
118409787921,Química industrial e tecnológica,20,2023/1,2023,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,5.0,4.0,3.0,3.0,4.0,75.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118409418837,Administração,20,2021/2,2021,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,5.0,,5.0,4.0,4.5,87.5,,,,,,,,4.0,4.0,2.0,2.0,3.0,3.0,50.0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,4,66.7
118407706117,Química industrial e tecnológica,18,2023/1,2023,Apenas ensino presencial,5.0,5.0,5.0,5.0,3.0,4.6,90.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118400284994,Engenharia mecânica,20,2023/1,2023,Apenas ensino presencial,5.0,5.0,5.0,5.0,5.0,5.0,100.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118407592419,Engenharia de materiais,26,2016/2,2016,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,4.0,4.0,4.0,5.0,4.4,85.0,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,75.0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16.7
118407200267,Engenharia de materiais,24,2018/2,2018,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,4.0,5.0,3.0,3.0,4.0,75.0,,,,,,,,4.0,2.0,2.0,4.0,2.0,2.8,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118406910525,Engenharia mecânica,18,2023/1,2023,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,5.0,,5.0,5.0,4.75,93.8,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118406559378,Engenharia de materiais,25,2016/2,2016,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,4.0,4.0,4.0,4.0,4.0,75.0,,,,,,,,5.0,5.0,5.0,4.0,4.0,4.6,90.0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,16.7
118406520641,Engenharia civil,21,2022/2,2022,Apenas ensino presencial,3.0,4.0,5.0,3.0,3.0,3.6,65.0,,,,,,,,2.0,2.0,4.0,2.0,4.0,2.8,45.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,33.3
118406399645,Pedagogia,38,2017/1,2017,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,5.0,4.0,5.0,5.0,4.8,95.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
